time,src,dst,latency
840,228,142,41.218503
840,754,104,91.795189
840,692,758,70.519834
840,558,89,-1.000000
840,604,432,-1.000000
840,32,30,2.421774
840,95,223,14.732981
850,654,114,96.604394
850,25,759,43.501363
850,281,250,37.546473
850,228,142,41.218167
850,754,104,91.780252
850,692,758,70.525730
850,558,89,-1.000000
850,604,432,-1.000000
850,32,30,2.421771
850,95,223,14.742502
860,654,114,96.535933
860,25,759,43.591991
860,281,250,37.546140
860,228,142,41.217839
860,754,104,91.763635
860,692,758,70.531395
860,558,89,-1.000000
860,604,432,-1.000000
860,32,30,2.421733
860,95,223,14.751769
870,654,114,96.466762
870,25,759,43.682735
870,281,250,37.545766
870,228,142,41.217469
870,754,104,91.745305
870,692,758,70.536772
870,558,89,-1.000000
870,604,432,-1.000000
870,32,30,2.421711
870,95,223,14.760806
880,654,114,96.396989
880,25,759,43.773488
880,281,250,37.545447
880,228,142,41.217169
880,754,104,91.725302
880,692,758,70.541811
880,558,89,-1.000000
880,604,432,-1.000000
880,32,30,2.421690
880,95,223,14.769604
890,654,114,96.326554
890,25,759,43.864288
890,281,250,37.545055
890,228,142,41.216812
890,754,104,91.703562
890,692,758,70.546637
890,558,89,-1.000000
890,604,432,-1.000000
890,32,30,2.421650
890,95,223,14.778147
900,654,114,96.255568
900,25,759,43.955057
900,281,250,37.544749
900,228,142,41.216503
900,754,104,91.680164
900,692,758,70.551199
900,558,89,-1.000000
900,604,432,-1.000000
900,32,30,2.421650
900,95,223,14.786492
910,654,114,96.184075
910,25,759,44.045699
910,281,250,37.544411
910,228,142,41.216127
910,754,104,91.655108
910,692,758,70.555460
910,558,89,-1.000000
910,604,432,-1.000000
910,32,30,2.421647
910,95,223,14.794538
920,654,114,96.111963
920,25,759,44.136247
920,281,250,37.544046
920,228,142,41.215782
920,754,104,91.628372
920,692,758,70.559452
920,558,89,-1.000000
920,604,432,-1.000000
920,32,30,2.421599
920,95,223,14.802368
930,654,114,96.039389
930,25,759,44.226606
930,281,250,37.543726
930,228,142,41.215448
930,754,104,91.600003
930,692,758,70.563241
930,558,89,-1.000000
930,604,432,-1.000000
930,32,30,2.421575
930,95,223,14.809910
940,654,114,95.966409
940,25,759,44.316736
940,281,250,37.543372
940,228,142,41.215082
940,754,104,91.569948
940,692,758,70.566666
940,558,89,-1.000000
940,604,432,-1.000000
940,32,30,2.421589
940,95,223,14.817205
950,654,114,95.892911
950,25,759,44.406627
950,281,250,37.543030
950,228,142,41.214734
950,754,104,91.538281
950,692,758,70.569807
950,558,89,-1.000000
950,604,432,-1.000000
950,32,30,2.421524
950,95,223,14.824242
960,654,114,95.819061
960,25,759,44.496200
960,281,250,37.542680
960,228,142,41.214358
960,754,104,91.504953
960,692,758,70.572726
960,558,89,-1.000000
960,604,432,-1.000000
960,32,30,2.421511
960,95,223,14.830989
970,654,114,95.744823
970,25,759,44.585518
970,281,250,37.542336
970,228,142,41.213975
970,754,104,91.470041
970,692,758,70.575402
970,558,89,-1.000000
970,604,432,-1.000000
970,32,30,2.421497
970,95,223,14.837519
980,654,114,95.670252
980,25,759,44.674366
980,281,250,37.542004
980,228,142,41.213647
980,754,104,91.433510
980,692,758,70.577760
980,558,89,-1.000000
980,604,432,-1.000000
980,32,30,2.421458
980,95,223,14.843788
990,654,114,95.595395
990,25,759,44.762874
990,281,250,37.541682
990,228,142,41.213295
